group_id,check,camera_id,date,time_first_photo_in_group,group_size,num_image_per_group
186,September_Check,H2-4,2014-06-14,0.2803935185185185,1,5
187,September_Check,H2-4,2014-06-17,0.8454282407407407,2,3
188,September_Check,H2-4,2014-06-21,0.251724537037037,1,10
189,September_Check,H2-4,2014-08-03,0.9929050925925926,1,2
190,April_Check,H4-1,2013-10-24,0.9266550925925926,1,5
191,April_Check,H5-1,2013-10-24,0.3905092592592593,1,10
192,April_Check,H5-1,2013-12-12,0.4068981481481482,1,14
193,April_Check,H5-1,2013-12-13,0.7272685185185185,1,5
194,April_Check,H5-1,2013-12-25,0.3867824074074074,1,3
195,April_Check,H5-1,2014-02-23,0.7390740740740741,1,8
196,April_Check,H5-1,2014-02-23,0.7451388888888889,1,4
197,April_Check,H5-1,2014-02-23,0.7870254629629629,1,7
198,April_Check,H5-1,2014-03-06,0.34378472222222223,1,5
199,April_Check,H5-1,2014-03-09,0.1483912037037037,1,9
200,April_Check,H5-1,2014-03-10,0.9685648148148148,1,14
201,April_Check,H6-2,2013-11-04,0.33783564814814815,1,5
202,April_Check,H6-2,2013-12-05,0.6776041666666667,1,4
203,April_Check,H7-1,2013-10-26,0.8045949074074074,1,13
204,April_Check,H7-1,2014-01-07,0.5514467592592592,4,19
205,April_Check,H7-1,2014-01-07,0.5591666666666667,3,10
206,April_Check,H7-1,2014-01-12,0.8951736111111112,1,13
207,April_Check,I2-1,2013-10-30,0.927037037037037,1,5
208,April_Check,I2-1,2013-10-31,0.8054398148148149,1,20
209,April_Check,I2-1,2013-10-31,0.9799884259259259,1,12
210,April_Check,I2-1,2013-11-07,0.16297453703703704,1,10
211,April_Check,I2-1,2013-11-10,0.7839236111111111,1,5
212,April_Check,I2-1,2013-11-22,0.7570486111111111,6,25
213,April_Check,I2-1,2013-11-24,0.17695601851851853,1,5
214,April_Check,I3-1,2013-11-10,0.17300925925925925,1,6
215,April_Check,I3-1,2013-11-10,0.31377314814814816,1,3
216,April_Check,I3-1,2013-12-01,0.38774305555555555,4,7
217,April_Check,I3-1,2013-12-01,0.5294791666666666,2,21
218,April_Check,I3-1,2013-12-09,0.034930555555555555,1,9
219,April_Check,I3-1,2013-12-11,0.8309027777777778,1,3
220,April_Check,I3-1,2013-12-21,0.6954398148148148,3,4
221,April_Check,I3-1,2014-03-09,0.9683912037037037,1,6
222,April_Check,I3-1,2014-04-16,0.8116898148148148,1,6
223,April_Check,I3-1,2014-04-19,0.8361458333333334,1,3
224,September_Check,I3-1,2014-05-01,0.7413425925925926,1,2
225,September_Check,I3-1,2014-05-07,0.7676620370370371,1,1
226,September_Check,I3-1,2014-05-08,0.38471064814814815,1,1
227,September_Check,I3-1,2014-05-13,0.12739583333333335,1,1
228,September_Check,I3-1,2014-05-24,0.8035763888888889,1,2
229,September_Check,I3-1,2014-05-30,0.4282060185185185,2,7
230,September_Check,I3-1,2014-06-16,0.3250810185185185,2,5
231,September_Check,I3-1,2014-06-22,0.2883101851851852,1,1
232,September_Check,I3-1,2014-07-14,0.6905324074074074,1,1
233,September_Check,I3-1,2014-07-19,0.9358333333333333,1,1
234,September_Check,I3-1,2014-07-27,0.23121527777777778,1,2
235,September_Check,I3-1,2014-08-20,0.06934027777777778,1,2
236,September_Check,I3-1,2014-09-03,0.13280092592592593,1,1
237,September_Check,I3-1,2014-09-11,0.8140393518518518,1,1
238,September_Check,I3-1,2014-09-20,0.7651388888888889,1,2
239,April_Check,I5-3,2013-11-25,0.32329861111111113,1,5
240,April_Check,I5-3,2013-12-09,0.04357638888888889,1,3
241,April_Check,J2-1,2013-11-07,0.3294560185185185,1,10
242,April_Check,J2-1,2013-12-12,0.3475578703703704,1,8
243,April_Check,J2-1,2014-01-03,0.07065972222222222,1,9
244,April_Check,J2-1,2014-01-07,0.8063773148148148,2,13
245,April_Check,J2-1,2014-01-20,0.21637731481481481,1,10
