group_id,check,camera_id,date,time,count_species,time_first_photo_in_group,group_size,num_image_per_group,n_group_per_day
21,September_Check,C2-1,2014-07-29,04:01:36,1,0.1677662037037037,1,5,2
21,September_Check,C2-1,2014-07-29,04:01:37,1,0.1677662037037037,1,5,2
21,September_Check,C2-1,2014-07-29,04:01:37,1,0.1677662037037037,1,5,2
21,September_Check,C2-1,2014-07-29,04:01:38,1,0.1677662037037037,1,5,2
22,September_Check,C2-1,2014-07-29,04:32:03,1,0.1889236111111111,1,5,2
22,September_Check,C2-1,2014-07-29,04:32:03,1,0.1889236111111111,1,5,2
22,September_Check,C2-1,2014-07-29,04:32:04,1,0.1889236111111111,1,5,2
22,September_Check,C2-1,2014-07-29,04:32:05,1,0.1889236111111111,1,5,2
22,September_Check,C2-1,2014-07-29,04:32:05,1,0.1889236111111111,1,5,2
23,September_Check,C2-1,2014-08-10,07:07:31,1,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:33,1,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:34,1,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:34,1,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:35,1,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:40,1,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:41,1,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:42,1,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:42,2,0.2968865740740741,2,10,1
23,September_Check,C2-1,2014-08-10,07:07:43,1,0.2968865740740741,2,10,1
24,September_Check,C2-1,2014-08-31,15:09:41,4,0.631724537037037,4,5,1
24,September_Check,C2-1,2014-08-31,15:09:42,4,0.631724537037037,4,5,1
24,September_Check,C2-1,2014-08-31,15:09:43,3,0.631724537037037,4,5,1
24,September_Check,C2-1,2014-08-31,15:09:44,3,0.631724537037037,4,5,1
24,September_Check,C2-1,2014-08-31,15:09:45,1,0.631724537037037,4,5,1
25,September_Check,C2-1,2014-09-02,02:43:43,1,0.11369212962962963,1,5,1
25,September_Check,C2-1,2014-09-02,02:43:43,1,0.11369212962962963,1,5,1
25,September_Check,C2-1,2014-09-02,02:43:44,1,0.11369212962962963,1,5,1
25,September_Check,C2-1,2014-09-02,02:43:45,1,0.11369212962962963,1,5,1
25,September_Check,C2-1,2014-09-02,02:43:45,1,0.11369212962962963,1,5,1
26,September_Check,C2-1,2014-09-11,12:46:38,1,0.5323842592592593,1,5,1
26,September_Check,C2-1,2014-09-11,12:46:38,1,0.5323842592592593,1,5,1
26,September_Check,C2-1,2014-09-11,12:46:39,1,0.5323842592592593,1,5,1
26,September_Check,C2-1,2014-09-11,12:46:40,1,0.5323842592592593,1,5,1
26,September_Check,C2-1,2014-09-11,12:46:41,1,0.5323842592592593,1,5,1
27,September_Check,C2-1,2014-09-25,10:47:32,1,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:47:33,4,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:47:33,4,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:47:34,4,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:47:35,4,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:47:56,4,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:47:57,4,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:47:58,4,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:47:59,3,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:48:00,1,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:50:56,2,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:50:57,3,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:50:58,1,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:50:59,3,0.4496759259259259,4,15,1
27,September_Check,C2-1,2014-09-25,10:50:59,2,0.4496759259259259,4,15,1
28,April_Check,C2-2,2013-10-24,19:16:01,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:02,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:02,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:03,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:04,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:15,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:16,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:17,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:17,1,0.8027893518518519,1,10,1
28,April_Check,C2-2,2013-10-24,19:16:18,1,0.8027893518518519,1,10,1
29,April_Check,C2-2,2013-10-25,17:49:28,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:49:30,2,0.7426851851851852,2,25,2
