episode,month_check,camera_id,date,max_count
339,April_Check,L3-1,2013-11-21,1
340,April_Check,L3-1,2013-11-23,1
341,April_Check,L3-1,2013-11-23,1
342,April_Check,L3-1,2013-11-23,1
343,April_Check,L3-1,2013-11-23,1
344,April_Check,L3-1,2013-11-24,1
345,April_Check,L3-1,2013-11-24,1
346,April_Check,L3-1,2013-11-25,1
347,April_Check,L3-1,2013-11-25,1
348,April_Check,L3-1,2013-11-25,4
349,April_Check,L3-1,2013-11-25,3
350,April_Check,L3-1,2013-11-26,1
351,April_Check,L3-1,2013-11-28,2
352,April_Check,L3-1,2013-11-28,1
353,April_Check,L3-1,2013-11-28,1
354,April_Check,L3-1,2013-11-28,1
355,April_Check,L3-1,2013-11-29,2
356,April_Check,L3-1,2013-11-29,1
357,April_Check,L3-1,2013-11-29,1
358,April_Check,L3-1,2013-11-29,1
359,April_Check,L3-1,2013-11-30,5
360,April_Check,L3-1,2013-11-30,4
361,April_Check,L3-1,2013-11-30,3
362,April_Check,L3-1,2013-11-30,3
363,April_Check,L3-1,2013-11-30,2
364,April_Check,L3-1,2013-11-30,1
365,April_Check,L3-1,2013-12-01,1
366,April_Check,L3-1,2013-12-01,1
367,April_Check,L3-1,2013-12-01,2
368,April_Check,L3-1,2013-12-01,1
369,April_Check,L3-1,2013-12-01,1
370,April_Check,L3-1,2013-12-01,3
371,April_Check,L3-1,2013-12-02,1
372,April_Check,L3-1,2013-12-02,5
373,April_Check,L3-1,2013-12-02,4
374,April_Check,L3-1,2013-12-02,3
375,April_Check,L3-1,2013-12-02,2
376,April_Check,L3-1,2013-12-02,1
377,April_Check,L3-1,2013-12-03,1
378,April_Check,L3-1,2013-12-03,1
379,April_Check,L3-1,2013-12-04,1
380,April_Check,L3-1,2013-12-07,2
381,April_Check,L3-1,2013-12-07,1
382,April_Check,L3-1,2013-12-07,1
383,April_Check,L3-1,2013-12-08,1
384,April_Check,L3-1,2013-12-09,2
385,April_Check,L3-1,2013-12-09,1
386,April_Check,L3-1,2013-12-09,1
387,April_Check,L3-1,2013-12-11,3
388,April_Check,L3-1,2013-12-11,2
389,April_Check,L3-1,2013-12-11,1
390,April_Check,L3-1,2013-12-12,1
391,April_Check,L3-1,2013-12-12,1
392,April_Check,L3-1,2013-12-12,1
393,April_Check,L3-1,2013-12-13,1
394,April_Check,L3-1,2013-12-13,1
395,April_Check,L3-1,2013-12-15,1
396,April_Check,L3-1,2013-12-15,1
397,April_Check,L3-1,2013-12-16,1
398,April_Check,L3-1,2013-12-16,1
399,April_Check,L3-1,2013-12-17,1
400,April_Check,L3-1,2013-12-17,1
401,April_Check,L3-1,2013-12-18,1
402,April_Check,L3-1,2013-12-20,1
403,April_Check,L3-1,2013-12-21,2
404,April_Check,L3-1,2013-12-21,1
405,April_Check,L3-1,2013-12-21,1
406,April_Check,L3-1,2013-12-21,1
407,April_Check,L3-1,2013-12-21,1
408,April_Check,L3-1,2013-12-21,1
409,April_Check,L3-1,2013-12-26,1
410,April_Check,L3-1,2013-12-26,1
411,April_Check,L3-1,2013-12-26,1
412,April_Check,L3-1,2013-12-26,2
413,April_Check,L3-1,2013-12-26,1
414,April_Check,L3-1,2013-12-27,2
415,April_Check,L3-1,2013-12-28,1
416,April_Check,L3-1,2013-12-28,1
417,April_Check,L3-1,2013-12-29,4
418,April_Check,L3-1,2013-12-29,3
419,April_Check,L3-1,2013-12-29,2
420,April_Check,L3-1,2013-12-29,1
421,April_Check,L3-1,2013-12-29,1
422,April_Check,L3-1,2013-12-30,1
423,April_Check,L3-1,2013-12-31,1
424,April_Check,L3-1,2013-12-31,1
425,April_Check,L3-1,2013-12-31,1
426,April_Check,L3-1,2014-01-01,3
427,April_Check,L3-1,2014-01-01,2
428,April_Check,L3-1,2014-01-01,1
429,April_Check,L3-1,2014-01-01,2
430,April_Check,L3-1,2014-01-01,1
431,April_Check,L3-1,2014-01-01,2
432,April_Check,L3-1,2014-01-02,3
433,April_Check,L3-1,2014-01-02,2
434,April_Check,L3-1,2014-01-02,1
435,April_Check,L3-1,2014-01-02,1
436,April_Check,L3-1,2014-01-03,1
437,April_Check,L3-1,2014-01-03,2
438,April_Check,L3-1,2014-01-03,1
439,April_Check,L3-1,2014-01-03,2
440,April_Check,L3-1,2014-01-03,3
441,April_Check,L3-1,2014-01-03,2
442,April_Check,L3-1,2014-01-04,1
443,April_Check,L3-1,2014-01-04,1
444,April_Check,L3-1,2014-01-05,1
445,April_Check,L3-1,2014-01-05,1
446,April_Check,L3-1,2014-01-10,1
447,April_Check,L3-1,2014-01-10,1
448,April_Check,L3-1,2014-01-11,1
449,April_Check,L3-1,2014-01-11,1
450,April_Check,L3-1,2014-01-11,1
451,April_Check,L3-1,2014-01-12,1
452,April_Check,L3-1,2014-01-13,1
453,April_Check,L3-1,2014-01-15,1
454,April_Check,L3-1,2014-01-15,1
455,April_Check,L3-1,2014-01-15,1
456,April_Check,L3-1,2014-01-15,1
457,April_Check,L3-1,2014-01-15,2
458,April_Check,L3-1,2014-01-15,1
459,April_Check,L3-1,2014-01-15,1
460,April_Check,L3-1,2014-01-16,1
461,April_Check,L3-1,2014-01-17,4
462,April_Check,L3-1,2014-01-17,3
463,April_Check,L3-1,2014-01-17,2
464,April_Check,L3-1,2014-01-17,1
465,April_Check,L3-1,2014-01-19,2
466,April_Check,L3-1,2014-01-19,1
467,April_Check,L3-1,2014-01-19,1
468,April_Check,L3-1,2014-01-19,2
469,April_Check,L3-1,2014-01-19,1
470,April_Check,L3-1,2014-01-19,1
471,April_Check,L3-1,2014-01-19,1
472,April_Check,L3-1,2014-01-21,1
473,April_Check,L3-1,2014-01-21,3
474,April_Check,L3-1,2014-01-21,2
475,April_Check,L3-1,2014-01-21,1
476,April_Check,L3-1,2014-01-21,1
477,April_Check,L3-1,2014-01-22,1
478,April_Check,L3-1,2014-01-22,2
479,April_Check,L3-1,2014-01-22,1
480,April_Check,L3-1,2014-01-22,1
481,April_Check,L3-1,2014-01-22,1
482,April_Check,L3-1,2014-01-23,1
483,April_Check,L3-1,2014-01-24,2
484,April_Check,L3-1,2014-01-25,1
485,April_Check,L3-1,2014-01-25,1
486,April_Check,L3-1,2014-01-26,3
487,April_Check,L3-1,2014-01-26,2
488,April_Check,L3-1,2014-01-26,1
489,April_Check,L3-1,2014-01-26,1
490,April_Check,L3-1,2014-01-29,1
491,April_Check,L3-1,2014-01-30,3
492,April_Check,L3-1,2014-01-30,2
493,April_Check,L3-1,2014-01-30,1
494,April_Check,L3-1,2014-01-31,3
495,April_Check,L3-1,2014-01-31,2
496,April_Check,L3-1,2014-01-31,1
497,April_Check,L3-1,2014-01-31,2
498,April_Check,L3-1,2014-01-31,1
499,April_Check,L3-1,2014-02-03,2
500,April_Check,L3-1,2014-02-03,1
501,April_Check,L3-1,2014-02-03,1
502,April_Check,L3-1,2014-02-04,1
503,April_Check,L3-1,2014-02-06,2
504,April_Check,L3-1,2014-02-06,1
505,April_Check,L3-1,2014-02-07,4
506,April_Check,L3-1,2014-02-07,3
507,April_Check,L3-1,2014-02-08,1
508,April_Check,L3-1,2014-02-09,1
509,April_Check,L3-1,2014-02-09,5
510,April_Check,L3-1,2014-02-09,4
511,April_Check,L3-1,2014-02-09,3
512,April_Check,L3-1,2014-02-09,2
513,April_Check,L3-1,2014-02-10,1
514,April_Check,L3-1,2014-02-12,1
515,April_Check,L3-1,2014-02-13,3
516,April_Check,L3-1,2014-02-13,1
517,April_Check,L3-1,2014-02-14,1
518,April_Check,L3-1,2014-02-14,1
519,April_Check,L3-1,2014-02-15,1
520,April_Check,L3-1,2014-02-15,1
521,April_Check,L3-1,2014-02-15,1
522,April_Check,L3-1,2014-02-15,1
523,April_Check,L3-1,2014-02-15,1
524,April_Check,L3-1,2014-02-16,1
525,April_Check,L3-1,2014-02-19,2
526,April_Check,L3-1,2014-02-19,1
527,April_Check,L3-1,2014-02-19,1
528,April_Check,L3-1,2014-02-19,3
529,April_Check,L3-1,2014-02-19,2
530,April_Check,L3-1,2014-02-19,1
531,April_Check,L3-1,2014-02-19,1
532,April_Check,L3-1,2014-02-20,1
533,April_Check,L3-1,2014-02-21,1
534,April_Check,L3-1,2014-02-21,1
535,April_Check,L3-1,2014-02-22,1
536,April_Check,L3-1,2014-02-23,1
537,April_Check,L3-1,2014-02-23,1
538,April_Check,L3-1,2014-02-23,1
539,April_Check,L3-1,2014-02-24,1
540,April_Check,L3-1,2014-02-26,1
541,April_Check,L3-1,2014-02-26,1
542,April_Check,L3-1,2014-03-04,1
543,April_Check,L3-1,2014-03-05,5
544,April_Check,L3-1,2014-03-05,4
545,April_Check,L3-1,2014-03-05,3
546,April_Check,L3-1,2014-03-05,2
547,April_Check,L3-1,2014-03-08,1
548,September_Check,C2-1,2014-06-14,4
549,September_Check,C2-1,2014-06-17,3
550,September_Check,C2-1,2014-07-04,4
551,September_Check,C2-1,2014-07-07,5
552,September_Check,C2-1,2014-07-29,1
553,September_Check,C2-1,2014-07-29,1
554,September_Check,C2-1,2014-08-10,2
555,September_Check,C2-1,2014-08-31,4
556,September_Check,C2-1,2014-09-02,1
557,September_Check,C2-1,2014-09-11,1
558,September_Check,C2-1,2014-09-25,4
559,September_Check,C3-2,2014-09-11,1
560,September_Check,D5-1,2014-04-26,1
561,September_Check,D5-1,2014-07-18,1
562,September_Check,E4-2,2014-09-08,1
563,September_Check,E5-1,2014-09-06,1
564,September_Check,F2-1,2014-06-11,3
565,September_Check,F3-1,2014-05-09,1
566,September_Check,F4-1,2014-06-02,1
567,September_Check,F4-1,2014-06-23,1
568,September_Check,F4-1,2014-07-02,1
569,September_Check,F4-1,2014-07-09,1
570,September_Check,F4-1,2014-07-24,1
571,September_Check,F4-1,2014-08-02,1
572,September_Check,F4-1,2014-08-05,1
573,September_Check,F4-1,2014-08-17,1
574,September_Check,F4-1,2014-08-26,1
575,September_Check,F4-1,2014-08-30,1
576,September_Check,F4-1,2014-09-07,1
577,September_Check,F4-1,2014-09-12,1
578,September_Check,F4-1,2014-09-17,1
579,September_Check,F4-1,2014-09-22,1
580,September_Check,G5-2,2014-07-15,1
581,September_Check,G5-2,2014-07-26,1
582,September_Check,G5-2,2014-07-29,1
583,September_Check,G5-2,2014-08-16,1
584,September_Check,G5-2,2014-08-16,1
585,September_Check,G5-2,2014-08-17,1
586,September_Check,G5-2,2014-08-18,1
587,September_Check,G5-2,2014-08-22,1
588,September_Check,G5-2,2014-08-22,1
589,September_Check,G5-2,2014-08-28,1
590,September_Check,G5-2,2014-09-22,1
591,September_Check,G5-3,2014-04-21,1
592,September_Check,G5-3,2014-04-30,1
593,September_Check,G5-3,2014-05-02,1
594,September_Check,G5-3,2014-05-03,1
595,September_Check,G5-3,2014-05-06,1
596,September_Check,H2-2,2014-05-25,2
597,September_Check,H2-2,2014-05-29,1
598,September_Check,H2-2,2014-06-18,1
599,September_Check,H2-2,2014-09-14,6
600,September_Check,H2-2,2014-09-19,1
601,September_Check,H2-2,2014-09-21,1
602,September_Check,H2-3,2014-07-02,2
603,September_Check,H2-3,2014-07-12,1
604,September_Check,H2-3,2014-07-22,1
605,September_Check,H2-3,2014-07-27,1
606,September_Check,H2-3,2014-08-01,1
607,September_Check,H2-3,2014-08-06,1
608,September_Check,H2-3,2014-09-05,3
609,September_Check,H2-3,2014-09-05,1
610,September_Check,H2-3,2014-09-22,1
611,September_Check,H2-4,2014-04-30,1
612,September_Check,H2-4,2014-05-09,1
613,September_Check,H2-4,2014-06-04,1
614,September_Check,H2-4,2014-06-10,1
615,September_Check,H2-4,2014-06-11,1
616,September_Check,H2-4,2014-06-11,1
617,September_Check,H2-4,2014-06-11,1
618,September_Check,H2-4,2014-06-12,1
619,September_Check,H2-4,2014-06-12,5
620,September_Check,H2-4,2014-06-14,1
621,September_Check,H2-4,2014-06-17,2
622,September_Check,H2-4,2014-06-21,1
623,September_Check,H2-4,2014-08-03,1
624,September_Check,I3-1,2014-05-01,1
625,September_Check,I3-1,2014-05-07,1
626,September_Check,I3-1,2014-05-08,1
627,September_Check,I3-1,2014-05-13,1
628,September_Check,I3-1,2014-05-24,1
629,September_Check,I3-1,2014-05-30,2
630,September_Check,I3-1,2014-06-16,2
631,September_Check,I3-1,2014-06-22,1
632,September_Check,I3-1,2014-07-14,1
633,September_Check,I3-1,2014-07-19,1
634,September_Check,I3-1,2014-07-27,1
635,September_Check,I3-1,2014-08-20,1
636,September_Check,I3-1,2014-09-03,1
637,September_Check,I3-1,2014-09-11,1
638,September_Check,I3-1,2014-09-20,1
639,September_Check,J2-1,2014-04-25,1
640,September_Check,J2-1,2014-04-26,1
641,September_Check,J2-1,2014-05-02,1
642,September_Check,J2-1,2014-05-04,1
643,September_Check,J2-1,2014-05-14,1
644,September_Check,K3-1,2014-04-25,1
645,September_Check,K3-1,2014-04-25,1
646,September_Check,K3-1,2014-04-26,1
647,September_Check,K3-1,2014-05-04,1
648,September_Check,K3-1,2014-05-05,1
649,September_Check,K3-1,2014-05-07,1
650,September_Check,K3-1,2014-06-08,4
651,September_Check,K3-1,2014-06-08,3
652,September_Check,K3-1,2014-06-08,2
653,September_Check,K3-1,2014-06-08,1
654,September_Check,K3-1,2014-06-09,1
